		北京	上海	天津	重庆	哈尔滨	长春	沈阳	呼和浩特	石家庄	乌鲁木齐	兰州	西宁	西安	银川	郑州	济南	太原	合肥	武汉	长沙	南京	成都	贵阳	昆明	南宁	拉萨	杭州	南昌	广州	福州	台北	海口	香港	澳门
成都		1516	1667	1521	255	2566	2378	2126	1330		1265	2058		604	694	607	882	1007	1374	1117	1266	978	897	1405	0	510	635	969	1249	1545	1170	1231	1574	1821	1336	1364	1322
贵阳		1726	1533	1698	334	2758	2551	2279	1648		1466	2562		1080	1193	874	1307	1122	1490	1364	1197	865	649	1320	510	0	446	459	1565	1375	939	787	1255	1483	826	887	933
昆明		22090	1967	2071	631	3131	2933	2668	1947		1830	2495		1230	1284	1186	1523	1507	1882	1701	1619	1291	1076	1750	635	446	0	624	1253	1821	1374	1114	1672	1904	968	1203	1130
南宁		2049	1605	1994	783	3031	2813	2543	2029		1783	3010		1537	1651	1273	1751	1422	1755	1720	1336	1043	746	1451	969	459	624	0	1878	1431	995	494	1163	1357	370	599	529
拉萨		2569	2912	2604	1482	3554	3406	3189	2244		2339	1605		1381	1261	1754	1694	2191	2525	2174	2524	2229	2130	2648	1249	1565	1253	1878	0	2783	2394	2328	2779	3024	2206	2421	2359
杭州		1138	169	1028	1323	1817	1581	1318	1405		1004	3235		1653	1838	1150	1576	793	768	1106	316	566	750	246	1545	1375	1821	1431	2783	0	451	1046	472	590	1503	1053	1119
南昌		1254	613	1173	929	2120	1893	1620	1411		1056	3029		1403	1587	915	1406	715	905	1077	376	270	297	469	1170	939	1374	995	2394	451	0	663	439	682	1103	720	749
广州		1888	1215	1818	987	2790	2560	2284	1974		1674	3279		1697	1876	1305	1842	1293	1555	1641	1037	835	581	1132	1231	787	1114	494	2328	1046	663	0	673	920	945	662	664
福州		1575	616	1465	1322	2285	2052	1789	1784		1410	3468		1842	2027	1350	1836	1106	1196	1460	658	702	586	670	1574	1255	1672	1163	2779	472	439	673	0	247	1136	662	726
台北		1730	689	1614	1570	2348	2112	1882	1973		1589	3703		2082	2273	1587	2069	1315	1355	1658	847	938	926	823	1821	1483	1904	1357	3024	590	682	920	247	0	1276	804	874
海口		2289	1673	2223	1142	3222	3058	2712	2318		2041	3380		1892	2014	1588	2076	1669	1957	1995	1478	1242	944	1581	1336	826	968	370	2206	1503	1103	945	1136	1276	0	476	410
香港		1973	1230	1887	1117	2834	2603	2326	2069		1740	3411		1824	1990	1421	1943	1380	1615	1734	1094	916	668	1172	1364	887	1203	599	2421	1053	720	662	662	804	476	0	72
澳门		2005	1287	1910	1082	2870	2642	2366	2075		1766	3374		1798	1957	1409	1923	1391	1644	1744	1129	930	672	1211	1322	933	1130	529	2359	1119	749	664	726	874	410	72	0																																					
